miRNA_1	miRNA_2	target
MIR103A1	MIR107	CLOCK
MIR103A1	MIR107	KIF21A
MIR103A1	MIR107	NOVA1
MIR103A1	MIR107	SNRK
MIR103A1	MIR107	CACNA2D1
MIR103A1	MIR107	TMEM260
MIR103A1	MIR107	SLC35G1
MIR103A1	MIR107	PIK3R1
MIR103A1	MIR107	SPATS2L
MIR103A1	MIR107	CHD2
MIR103A1	MIR107	UPF2
MIR103A1	MIR107	JAKMIP2
MIR103A1	MIR107	LCOR
MIR103A1	MIR107	NF1
MIR103A1	MIR107	SATB2
MIR103A1	MIR107	BDNF
MIR103A1	MIR107	NPAS3
MIR103A1	MIR107	RBM24
MIR103A1	MIR107	ZCCHC2
MIR103A1	MIR107	EIF5
MIR103A1	MIR107	SCN8A
MIR103A1	MIR107	GABRG2
MIR103A1	MIR107	PPP6R2
MIR103A1	MIR107	ARMC1
MIR103A1	MIR107	ATXN7L1
MIR103A1	MIR107	DNAJB4
MIR103A1	MIR107	AGFG1
MIR103A1	MIR107	SIX4
MIR103A1	MIR107	BACH2
MIR103A1	MIR107	FBXO10
MIR103A1	MIR107	CAPZA2
MIR103A1	MIR107	MBNL1
MIR103A2	MIR107	USF3
MIR103A2	MIR107	VAV3
MIR103A2	MIR107	BCLAF3
MIR103A2	MIR107	CPEB3
MIR103A2	MIR107	RSPO3
MIR103A2	MIR107	RYBP
MIR103A2	MIR107	PPP4R3B
MIR103A2	MIR107	TLE4
MIR103A2	MIR107	AGO1
MIR103A2	MIR107	MED26
MIR103A2	MIR107	CASK
MIR103A2	MIR107	DCBLD2
MIR103A2	MIR107	NEDD9
MIR103A2	MIR107	IARS1
MIR103A2	MIR107	PPP2R3C
MIR103A2	MIR107	ZNF711
MIR103A2	MIR107	AQP11
MIR103A2	MIR107	PAWR
MIR103A2	MIR107	WASHC4
MIR103A2	MIR107	PRKCE
MIR103A2	MIR107	MTMR4
MIR103A2	MIR107	CDK14
MIR103A2	MIR107	KIF23
MIR103A2	MIR107	EVA1A
MIR103A2	MIR107	FBXW7
MIR103A2	MIR107	RAB10
MIR103A2	MIR107	TMEM47
MIR103A2	MIR107	TNRC6B
MIR103A2	MIR107	DYRK2
MIR103A2	MIR107	ANKIB1
MIR103A2	MIR107	ANO3
MIR103A2	MIR107	SUN2
MIR103A2	MIR107	KDM7A
MIR103A2	MIR107	BTG2
MIR103A2	MIR107	AXIN2
MIR103A2	MIR107	KIF5A
MIR103A2	MIR107	CLCN5
MIR103A2	MIR107	NDEL1
MIR103A2	MIR107	PPP6C
MIR103A2	MIR107	TWF1
MIR103A2	MIR107	DLL1
MIR103A2	MIR107	TSPAN5
MIR103A2	MIR107	AGO4
MIR103A2	MIR107	USP42
MIR103A2	MIR107	SNCG
MIR103A2	MIR107	TNPO1
MIR103A2	MIR107	CHD6
MIR103A2	MIR107	FERMT2
MIR103A2	MIR107	SCN2A
MIR103A2	MIR107	VCAN
MIR103A2	MIR107	ZNRF2
MIR103A2	MIR107	GPATCH8
MIR103A2	MIR107	CDK6
MIR103A2	MIR107	PPIP5K2
MIR103A2	MIR107	TLK1
MIR103A2	MIR107	PURB
MIR103A2	MIR107	ZFPM2
MIR103A2	MIR107	GALNT7
MIR103A2	MIR107	MYH9
MIR103A2	MIR107	CSNK1A1
MIR103A2	MIR107	PDCD10
MIR103A2	MIR107	RAB11FIP2
MIR103A2	MIR107	MEF2D
MIR103A2	MIR107	NAA15
MIR103A2	MIR107	OTUD4
MIR103A2	MIR107	CDK8
MIR103A2	MIR107	RASSF5
MIR103A2	MIR107	GPC6
MIR103A2	MIR107	HERC2
MIR103A2	MIR107	HMGA2
MIR103A2	MIR107	SDCBP
MIR103A2	MIR107	NUDCD2
MIR103A2	MIR107	ZBTB10
MIR103A2	MIR107	AFF4
MIR103A2	MIR107	GIT2
MIR103A2	MIR107	C2CD5
MIR103A2	MIR107	FOXP1
MIR103A2	MIR107	HELZ
MIR103A2	MIR107	TGFBR3
MIR103A2	MIR107	VPS4A
MIR103A2	MIR107	ATP13A3
MIR103A2	MIR107	PTPN4
MIR103A2	MIR107	SUSD6
MIR103A2	MIR107	CNOT6L
MIR103A2	MIR107	MYB
MIR103A2	MIR107	FAF2
MIR103A2	MIR107	SCN1A
MIR103A2	MIR107	CHD1
MIR103A2	MIR107	ARMC8
MIR103A2	MIR107	LRP1B
MIR103A2	MIR107	ZBTB39
MIR103A2	MIR107	AMMECR1
MIR103A2	MIR107	RAI14
MIR103A2	MIR107	PLEKHF2
MIR103A2	MIR107	LATS2
MIR103A2	MIR107	DCP1A
MIR103A2	MIR107	CCDC6
MIR103A2	MIR107	TBKBP1
