miRNA_1	miRNA_2	bifan_target_1	bifan_target_2
MIR302B	MIR520A	ZBTB5	ZNF367
MIR302B	MIR520A	GLIS3	AEBP2
MIR302B	MIR520A	LEFTY1	GDF11
MIR302B	MIR520A	LEFTY1	LEFTY2
MIR302B	MIR520A	LAMA3	NTN4
MIR302B	MIR520A	RAB22A	RAB11A
MIR302B	MIR520A	GDF11	LEFTY2
MIR302B	MIR520A	ZBTB41	PRDM4
MIR302B	MIR520B	E2F7	E2F5
MIR302B	MIR520B	ZBTB5	ZNF367
MIR302B	MIR520B	UBE2B	UBE2W
MIR302B	MIR520B	GLIS3	AEBP2
MIR302B	MIR520B	LEFTY1	GDF11
MIR302B	MIR520B	LEFTY1	LEFTY2
